epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.711,0.58124,2.38573,1.05207,0.00333,1,0.94594,0.70808,0.50538,2.83812,0.94956,0.00012,0.00012,0.00012
2,131.883,0.37657,1.17592,0.91841,0.00333,1,0.98948,0.73554,0.7424,2.76387,1.11921,0.000257426,0.000257426,0.000257426
3,188.917,0.43797,0.82592,0.91322,1,0.98298,0.995,0.81023,0.66153,1.9459,1.12953,0.00039208,0.00039208,0.00039208
4,245.316,0.43125,0.78753,0.90341,1,0.96054,0.995,0.85169,0.63038,1.91797,1.08067,0.000523962,0.000523962,0.000523962
5,304.003,0.45579,0.78026,0.91125,1,0.91416,0.98907,0.80825,0.65299,1.65051,1.17663,0.000653072,0.000653072,0.000653072
6,359.483,0.48645,0.74088,0.92216,0.99473,0.96,0.99204,0.87497,0.58342,1.84468,1.00087,0.00077941,0.00077941,0.00077941
7,416.251,0.46356,0.74227,0.93759,0.98216,0.92,0.94608,0.46093,0.84906,2.4404,1.19483,0.000902976,0.000902976,0.000902976
8,471.52,0.44462,0.68436,0.91288,0.94895,0.92,0.94013,0.48428,0.76464,2.56251,1.24634,0.00102377,0.00102377,0.00102377
9,528.623,0.4632,0.68579,0.92177,0.7476,0.8,0.85171,0.68712,0.74269,1.94007,1.12797,0.00114179,0.00114179,0.00114179
10,584.482,0.4647,0.68135,0.92417,0.97701,0.8,0.96885,0.73505,0.79605,2.00332,1.39706,0.00125704,0.00125704,0.00125704
11,640.915,0.52501,0.67305,0.92421,0.95815,0.91596,0.98423,0.70559,0.93806,1.72314,1.4523,0.00136952,0.00136952,0.00136952
12,697.299,0.50319,0.64827,0.92804,0.70629,0.866,0.82232,0.64752,0.86865,1.59773,1.30216,0.00147923,0.00147923,0.00147923
13,754.493,0.5122,0.65992,0.94836,0.6778,0.84,0.76745,0.52411,1.22274,1.86723,1.56466,0.00158616,0.00158616,0.00158616
14,810.274,0.483,0.63828,0.92899,0.63107,0.68435,0.66563,0.43289,0.76504,1.94346,1.203,0.00169032,0.00169032,0.00169032
15,867.705,0.51304,0.63985,0.94443,0.70685,0.72,0.78797,0.52532,0.99465,1.72986,1.58934,0.0017228,0.0017228,0.0017228
16,924.213,0.50333,0.61544,0.94492,0.84452,0.86935,0.87915,0.68661,0.77761,1.3694,1.2156,0.001703,0.001703,0.001703
17,980.053,0.50053,0.58489,0.94208,0.92389,0.8,0.88634,0.70259,0.83558,1.36565,1.45299,0.0016832,0.0016832,0.0016832
18,1035.83,0.49084,0.57093,0.93508,0.95504,0.96,0.98468,0.78557,0.8241,1.10459,1.30089,0.0016634,0.0016634,0.0016634
19,1091.74,0.48176,0.56147,0.93968,0.94098,0.63782,0.87166,0.71894,0.6417,1.32337,1.02525,0.0016436,0.0016436,0.0016436
20,1147.69,0.43978,0.52366,0.92105,0.86929,0.96,0.9741,0.76174,0.79917,1.11143,1.13096,0.0016238,0.0016238,0.0016238
21,1203.68,0.43773,0.51071,0.91687,0.91575,0.86991,0.95449,0.7516,0.73388,1.02713,1.09693,0.001604,0.001604,0.001604
22,1259.8,0.45119,0.50327,0.92313,0.90458,0.96,0.97013,0.83084,0.58413,0.88406,0.97546,0.0015842,0.0015842,0.0015842
23,1316.03,0.43105,0.48551,0.9277,0.87482,0.92,0.95345,0.79305,0.53078,1.04736,0.9415,0.0015644,0.0015644,0.0015644
24,1371.49,0.41296,0.47633,0.89895,0.95635,0.87647,0.96995,0.84541,0.50597,0.9971,0.94696,0.0015446,0.0015446,0.0015446
25,1426.96,0.41715,0.46545,0.91224,0.9946,1,0.995,0.86863,0.53295,0.66428,0.95907,0.0015248,0.0015248,0.0015248
26,1477.28,0.43845,0.48287,0.92161,0.99705,1,0.995,0.84359,0.56,0.64166,0.97189,0.001505,0.001505,0.001505
27,1531.75,0.40047,0.44569,0.88924,0.99762,1,0.995,0.85582,0.51686,0.62256,0.92276,0.0014852,0.0014852,0.0014852
28,1589.5,0.4026,0.43088,0.90306,0.99779,1,0.995,0.85297,0.57814,0.54772,1.12624,0.0014654,0.0014654,0.0014654
29,1646.85,0.38387,0.40795,0.88938,0.99762,1,0.995,0.84086,0.57524,0.56046,1.07219,0.0014456,0.0014456,0.0014456
30,1702.67,0.39217,0.43756,0.88993,0.99691,1,0.995,0.87043,0.53247,0.59423,0.93333,0.0014258,0.0014258,0.0014258
31,1758.42,0.40666,0.42252,0.90224,0.99706,1,0.995,0.85337,0.58623,0.59228,1.02222,0.001406,0.001406,0.001406
32,1814.72,0.41209,0.40992,0.88762,0.99536,1,0.995,0.82079,0.67484,0.67873,1.0795,0.0013862,0.0013862,0.0013862
33,1869.79,0.40751,0.41361,0.90686,0.99566,1,0.995,0.77736,0.64357,0.70749,1.0552,0.0013664,0.0013664,0.0013664
34,1925.26,0.41578,0.42176,0.90173,0.99758,1,0.995,0.79368,0.64707,0.55573,1.12215,0.0013466,0.0013466,0.0013466
35,1980.8,0.38861,0.40085,0.90418,0.99744,1,0.995,0.82953,0.60857,0.51342,1.08322,0.0013268,0.0013268,0.0013268
36,2036.35,0.38239,0.4097,0.86516,0.99466,1,0.995,0.89247,0.51161,0.50717,0.97551,0.001307,0.001307,0.001307
37,2093.1,0.36529,0.38122,0.88513,0.99575,1,0.995,0.86609,0.50686,0.5257,0.92878,0.0012872,0.0012872,0.0012872
38,2148.56,0.38561,0.37216,0.8973,0.99355,1,0.995,0.81225,0.59601,0.72336,1.13216,0.0012674,0.0012674,0.0012674
39,2204.36,0.38807,0.38249,0.88297,0.83262,0.92,0.93658,0.65911,0.77757,1.28557,1.36645,0.0012476,0.0012476,0.0012476
40,2260.98,0.38994,0.36339,0.89016,0.99089,1,0.995,0.86173,0.54649,0.63888,1.00145,0.0012278,0.0012278,0.0012278
41,2317.05,0.39233,0.35513,0.90282,0.99776,1,0.995,0.87997,0.54512,0.48822,1.04326,0.001208,0.001208,0.001208
42,2371.52,0.3449,0.35521,0.87929,0.99806,1,0.995,0.87452,0.52394,0.4097,1.03854,0.0011882,0.0011882,0.0011882
43,2426.67,0.38588,0.35767,0.8863,0.99782,1,0.995,0.87623,0.47898,0.42235,0.96171,0.0011684,0.0011684,0.0011684
44,2481.85,0.35944,0.33702,0.88127,0.99784,1,0.995,0.89711,0.47968,0.4229,0.90467,0.0011486,0.0011486,0.0011486
45,2536.61,0.3507,0.33352,0.88118,0.99778,1,0.995,0.88125,0.51916,0.43739,0.98238,0.0011288,0.0011288,0.0011288
46,2588.62,0.3527,0.33275,0.87389,0.99776,1,0.995,0.87721,0.47919,0.41893,1.00316,0.001109,0.001109,0.001109
47,2639.68,0.38149,0.34515,0.89859,0.99719,1,0.995,0.88074,0.49702,0.40445,1.03516,0.0010892,0.0010892,0.0010892
48,2674.58,0.34385,0.32192,0.87454,0.99531,1,0.995,0.88493,0.50354,0.40949,0.98069,0.0010694,0.0010694,0.0010694
49,2708.48,0.35288,0.33182,0.88575,0.99643,1,0.995,0.87145,0.51692,0.47085,0.922,0.0010496,0.0010496,0.0010496
50,2742.56,0.35262,0.33432,0.87441,0.99599,1,0.995,0.86602,0.51646,0.45722,0.93973,0.0010298,0.0010298,0.0010298
51,2776.36,0.35267,0.31896,0.87219,0.99759,1,0.995,0.84882,0.55981,0.41257,1.00027,0.00101,0.00101,0.00101
52,2810.25,0.30934,0.30283,0.87049,0.99781,1,0.995,0.86542,0.50452,0.38046,0.9685,0.0009902,0.0009902,0.0009902
53,2844.02,0.34279,0.30631,0.89643,0.95953,1,0.99346,0.89247,0.45294,0.40215,0.92718,0.0009704,0.0009704,0.0009704
54,2877.74,0.36977,0.32574,0.88861,1,0.98558,0.995,0.87702,0.48234,0.38565,0.98173,0.0009506,0.0009506,0.0009506
55,2911.95,0.3541,0.32608,0.89126,0.99747,1,0.995,0.84122,0.47881,0.3688,1.06197,0.0009308,0.0009308,0.0009308
56,2946.31,0.33264,0.30191,0.87535,0.99775,1,0.995,0.84264,0.46314,0.3688,1.03205,0.000911,0.000911,0.000911
57,2980.03,0.34155,0.29242,0.88278,0.99766,1,0.995,0.84259,0.467,0.37278,1.01633,0.0008912,0.0008912,0.0008912
58,3014.2,0.32896,0.30767,0.88697,0.99646,1,0.995,0.86699,0.45654,0.36595,0.99661,0.0008714,0.0008714,0.0008714
59,3048.25,0.33475,0.29183,0.8742,0.99711,1,0.995,0.89603,0.45966,0.35301,0.93544,0.0008516,0.0008516,0.0008516
60,3088.54,0.34755,0.30032,0.88659,0.99742,1,0.995,0.90823,0.43653,0.34699,0.90406,0.0008318,0.0008318,0.0008318
61,3121.84,0.33951,0.3026,0.882,0.99725,1,0.995,0.92698,0.4265,0.34372,0.89684,0.000812,0.000812,0.000812
62,3154.4,0.34486,0.31368,0.88089,0.99749,1,0.995,0.93574,0.41988,0.32362,0.90674,0.0007922,0.0007922,0.0007922
63,3186.7,0.30962,0.2866,0.86848,0.99778,1,0.995,0.91469,0.48769,0.34746,0.93634,0.0007724,0.0007724,0.0007724
64,3219.1,0.3126,0.29446,0.87484,0.99771,1,0.995,0.88641,0.48996,0.32749,0.94323,0.0007526,0.0007526,0.0007526
65,3273.33,0.29701,0.27718,0.87169,0.99682,1,0.995,0.89099,0.48731,0.32475,0.94154,0.0007328,0.0007328,0.0007328
66,3328.74,0.31797,0.2988,0.89108,0.99749,1,0.995,0.90728,0.46229,0.35174,0.94149,0.000713,0.000713,0.000713
67,3382.57,0.3361,0.30977,0.89006,0.99663,1,0.995,0.90468,0.45129,0.38091,0.99466,0.0006932,0.0006932,0.0006932
68,3433.88,0.31349,0.27421,0.86922,0.99684,1,0.995,0.86918,0.55086,0.39585,1.07543,0.0006734,0.0006734,0.0006734
69,3493.84,0.34155,0.28722,0.88148,0.99698,1,0.995,0.8355,0.59201,0.39487,1.11482,0.0006536,0.0006536,0.0006536
70,3551.97,0.31848,0.2893,0.87312,0.9962,1,0.995,0.86274,0.5519,0.4337,1.13358,0.0006338,0.0006338,0.0006338
71,3587.34,0.31908,0.29578,0.88058,0.99659,1,0.995,0.85861,0.54068,0.41404,1.10395,0.000614,0.000614,0.000614
72,3622.65,0.31106,0.26606,0.87569,0.99782,1,0.995,0.86588,0.5487,0.3872,1.09255,0.0005942,0.0005942,0.0005942
73,3660.36,0.31701,0.27589,0.87999,0.99793,1,0.995,0.86862,0.56474,0.37332,1.10328,0.0005744,0.0005744,0.0005744
74,3693.77,0.29599,0.26933,0.86115,0.99779,1,0.995,0.87593,0.53185,0.34803,1.13681,0.0005546,0.0005546,0.0005546
75,3725.61,0.29203,0.26018,0.86903,0.99762,1,0.995,0.89027,0.50051,0.37424,1.07345,0.0005348,0.0005348,0.0005348
76,3757.58,0.31516,0.25301,0.86337,0.99783,1,0.995,0.87112,0.51157,0.37026,1.04162,0.000515,0.000515,0.000515
77,3792.77,0.29465,0.24904,0.86567,0.99784,1,0.995,0.87823,0.51578,0.36247,1.03816,0.0004952,0.0004952,0.0004952
78,3826.37,0.30522,0.26583,0.87499,0.99791,1,0.995,0.89696,0.48013,0.34726,1.01373,0.0004754,0.0004754,0.0004754
79,3861.99,0.30424,0.2744,0.88413,0.99796,1,0.995,0.91519,0.47403,0.29586,1.01526,0.0004556,0.0004556,0.0004556
80,3896.54,0.30516,0.25271,0.87662,0.99786,1,0.995,0.91212,0.46519,0.30442,0.96098,0.0004358,0.0004358,0.0004358
81,3931.71,0.28017,0.25734,0.85932,0.99777,1,0.995,0.91262,0.47617,0.31253,0.95039,0.000416,0.000416,0.000416
82,3967,0.27372,0.24076,0.87085,0.9974,1,0.995,0.90371,0.44622,0.28946,0.89684,0.0003962,0.0003962,0.0003962
83,4002.32,0.29558,0.25576,0.86421,0.99623,1,0.995,0.90775,0.41092,0.28868,0.86612,0.0003764,0.0003764,0.0003764
84,4037.4,0.29456,0.25885,0.8808,0.99563,1,0.995,0.91942,0.41144,0.29654,0.86088,0.0003566,0.0003566,0.0003566
85,4072.15,0.27675,0.25899,0.85487,0.99555,1,0.995,0.91121,0.41844,0.29713,0.86395,0.0003368,0.0003368,0.0003368
86,4107.12,0.27433,0.25184,0.86589,0.99568,1,0.995,0.91343,0.40163,0.2963,0.85254,0.000317,0.000317,0.000317
87,4141.53,0.27949,0.25152,0.87579,0.99611,1,0.995,0.93376,0.37353,0.27825,0.83732,0.0002972,0.0002972,0.0002972
88,4175.71,0.26908,0.25459,0.86891,0.99655,1,0.995,0.92381,0.38888,0.28567,0.84161,0.0002774,0.0002774,0.0002774
89,4209.44,0.25598,0.23688,0.86967,0.99655,1,0.995,0.93086,0.3911,0.28043,0.84351,0.0002576,0.0002576,0.0002576
90,4244.72,0.25748,0.22538,0.86768,0.99664,1,0.995,0.92772,0.39871,0.2821,0.85426,0.0002378,0.0002378,0.0002378
91,4276.47,0.2438,0.31872,0.83853,0.99688,1,0.995,0.91038,0.40783,0.2903,0.8588,0.000218,0.000218,0.000218
92,4308.18,0.23047,0.27732,0.84559,0.99754,1,0.995,0.91538,0.42692,0.308,0.87958,0.0001982,0.0001982,0.0001982
93,4341.23,0.24696,0.27096,0.841,0.99766,1,0.995,0.91295,0.42018,0.31915,0.87257,0.0001784,0.0001784,0.0001784
94,4376.48,0.25287,0.27693,0.84117,0.9978,1,0.995,0.90593,0.40293,0.31057,0.85854,0.0001586,0.0001586,0.0001586
95,4413.49,0.23577,0.27964,0.83857,0.99786,1,0.995,0.91116,0.41104,0.30037,0.86259,0.0001388,0.0001388,0.0001388
96,4453.45,0.23183,0.27641,0.8178,0.9979,1,0.995,0.91645,0.40559,0.28375,0.86738,0.000119,0.000119,0.000119
97,4499.46,0.2315,0.25888,0.81549,0.99788,1,0.995,0.91534,0.40346,0.28058,0.87054,9.92e-05,9.92e-05,9.92e-05
98,4542.64,0.205,0.24207,0.83768,0.9979,1,0.995,0.91532,0.39676,0.27676,0.86782,7.94e-05,7.94e-05,7.94e-05
99,4584.75,0.20873,0.23008,0.81233,0.99788,1,0.995,0.9185,0.39092,0.27641,0.86832,5.96e-05,5.96e-05,5.96e-05
100,4624.99,0.20528,0.22549,0.822,0.99791,1,0.995,0.92024,0.38488,0.26786,0.86566,3.98e-05,3.98e-05,3.98e-05
